local_stable_id,stable_id,inode,volume,parent_local_stable_id,local_filename,cloud_filename,local_mtime_ms,cloud_mtime_ms,local_md5_checksum,cloud_md5_checksum,local_size,cloud_size,local_type,cloud_type,local_version,cloud_version,storage_policy,shared,read_only,target_version,is_root
1,205,1125899906950991,87abe2a8-0000-0000-0000-300300000000,-3,Downloads,Downloads,1729966098009,1729966118713,,,4096,0,0,0,0,0,2,0,0,,1
2,207,1125899906950993,87abe2a8-0000-0000-0000-300300000000,-1,Desktop,Desktop,1729966096205,1729966119257,,,4096,0,0,0,0,0,2,0,0,,1
3,211,1125899906889516,87abe2a8-0000-0000-0000-300300000000,1,GoogleDriveSetup.exe,GoogleDriveSetup.exe,1729965834475,1729965834475,7548e87d5eb3c4e6ef023f58af601339,7548e87d5eb3c4e6ef023f58af601339,267021928,267021928,1,1,1,3,2,0,0,,0
4,213,1688849860374554,87abe2a8-0000-0000-0000-300300000000,1,ChromeSetup.exe,ChromeSetup.exe,1729964916697,1729964916697,96fc8da84f8a66503a362f62dc10258b,96fc8da84f8a66503a362f62dc10258b,10219392,10219392,1,1,1,1,0,0,0,,0
5,209,1125899906950992,87abe2a8-0000-0000-0000-300300000000,-2,Documents,Documents,1729966097080,1729966121388,,,4096,0,0,0,0,0,2,0,0,,1
6,215,1407374883667614,87abe2a8-0000-0000-0000-300300000000,2,Google Docs.lnk,Google Docs.lnk,1737713178428,1737713178428,4c37bfdd43d34e54e284527054d3aea7,4c37bfdd43d34e54e284527054d3aea7,2068,2068,1,1,3,3,2,0,0,,0
7,217,1407374883667597,87abe2a8-0000-0000-0000-300300000000,2,Google Drive.lnk,Google Drive.lnk,1737713178391,1737713178391,c2fc21714d3ac1ea2c37131df1291d9b,c2fc21714d3ac1ea2c37131df1291d9b,2044,2044,1,1,3,3,2,0,0,,0
8,219,1407374883667649,87abe2a8-0000-0000-0000-300300000000,2,Google Slides.lnk,Google Slides.lnk,1737713178502,1737713178502,a4d29e770fee02c3b826906a4c389c26,a4d29e770fee02c3b826906a4c389c26,2080,2080,1,1,3,4,2,0,0,,0
9,221,1125899906951599,87abe2a8-0000-0000-0000-300300000000,2,Microsoft Edge.lnk,Microsoft Edge.lnk,1729964760909,1729964760909,80dd8178de9f9924f25ebfdfebaf4a2e,80dd8178de9f9924f25ebfdfebaf4a2e,2348,2348,1,1,1,1,0,0,0,,0
10,223,1407374883667631,87abe2a8-0000-0000-0000-300300000000,2,Google Sheets.lnk,Google Sheets.lnk,1737713178433,1737713178433,22badd09fd0e3e153d8d3443dfa6fa43,22badd09fd0e3e153d8d3443dfa6fa43,2080,2080,1,1,3,3,2,0,0,,0
11,225,7318349394583140,87abe2a8-0000-0000-0000-300300000000,2,nieco.txt,nieco.txt,1729966327410,1729966339439,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0,0,1,1,2,3,0,0,0,,0
12,405,1125899906961631,87abe2a8-0000-0000-0000-300300000000,1,kape.zip,kape.zip,1730221120321,1730221120321,,b58c7d26dc2320f4b4b6df29a3070268,139549022,139549022,1,1,4,9,2,0,0,,0
13,407,1407374883673744,87abe2a8-0000-0000-0000-300300000000,1,kape,kape,1730221507591,1730221506177,,,0,0,0,0,1,1,2,0,0,,0
14,409,1125899906963092,87abe2a8-0000-0000-0000-300300000000,13,KAPE,KAPE,1737713754026,1730221508220,,,4096,0,0,0,1,1,2,0,0,,0
15,411,1125899906963094,87abe2a8-0000-0000-0000-300300000000,14,Get-KAPEUpdate.ps1,Get-KAPEUpdate.ps1,1730221508162,1730221508162,487732f061fd8a6ea9871dedea0aaff3,487732f061fd8a6ea9871dedea0aaff3,16537,16537,1,1,1,1,0,0,0,,0
16,413,1125899906963093,87abe2a8-0000-0000-0000-300300000000,14,ChangeLog.txt,ChangeLog.txt,1730221507915,1730221507915,0e7868fd85b044f03cea7c07886ddf4b,0e7868fd85b044f03cea7c07886ddf4b,21425,21425,1,1,1,3,0,0,0,,0
17,415,1125899906963095,87abe2a8-0000-0000-0000-300300000000,14,gkape.exe,gkape.exe,1730221510293,1730221510293,b0f04453f5b82ba072b3292dd15d944d,b0f04453f5b82ba072b3292dd15d944d,63133368,63133368,1,1,2,2,2,0,0,,0
18,417,1125899906963099,87abe2a8-0000-0000-0000-300300000000,14,kape.exe,kape.exe,1730221510992,1730221510992,7e09af85742522ab31748c8992839ae6,7e09af85742522ab31748c8992839ae6,7003832,7003832,1,1,1,1,0,0,0,,0
19,419,1125899906963101,87abe2a8-0000-0000-0000-300300000000,14,Documentation,Documentation,1730221511023,1730221511023,,,0,0,0,0,1,1,2,0,0,,0
20,421,1125899906963102,87abe2a8-0000-0000-0000-300300000000,19,DocumentationAndEULA.txt,DocumentationAndEULA.txt,1730221511107,1730221511107,54965ae4d50ebe8ff2da0b0f661c08d9,54965ae4d50ebe8ff2da0b0f661c08d9,141,141,1,1,1,3,0,0,0,,0
21,423,1125899906963103,87abe2a8-0000-0000-0000-300300000000,14,Modules,Modules,1730221657908,1730221511220,,,4096,0,0,0,1,1,2,0,0,,0
22,425,1125899906963104,87abe2a8-0000-0000-0000-300300000000,21,CompoundModuleGuide.guide,CompoundModuleGuide.guide,1730221511201,1730221511201,9ee2afc5609b89ebba890017d9ba0b73,9ee2afc5609b89ebba890017d9ba0b73,1644,1644,1,1,1,1,0,0,0,,0
23,427,1125899906963105,87abe2a8-0000-0000-0000-300300000000,21,CompoundModuleTemplate.template,CompoundModuleTemplate.template,1730221511358,1670824686000,74e36c97c5e75f0afd66e7d6bff3140e,74e36c97c5e75f0afd66e7d6bff3140e,911,911,1,1,2,1,0,0,0,,0
24,429,1125899906963107,87abe2a8-0000-0000-0000-300300000000,21,ModuleTemplate.template,ModuleTemplate.template,1730221511708,1730221511708,164297a7b22a69984127bd6f5003f1af,164297a7b22a69984127bd6f5003f1af,794,794,1,1,1,1,0,0,0,,0
25,431,1125899906963108,87abe2a8-0000-0000-0000-300300000000,21,!Disabled,!Disabled,1730221512936,1730221512310,,,8192,0,0,0,1,1,2,0,0,,0
26,433,1125899906963119,87abe2a8-0000-0000-0000-300300000000,25,Volatility_handles.mkape,Volatility_handles.mkape,1730221512431,1670824686000,e544e0d3e468f1488cac0e8893efb379,e544e0d3e468f1488cac0e8893efb379,1120,1120,1,1,2,1,0,0,0,,0
27,435,1125899906963111,87abe2a8-0000-0000-0000-300300000000,25,TZWorks_evtwalk64_EventLogs_ApplicationEvents.mkape,TZWorks_evtwalk64_EventLogs_ApplicationEvents.mkape,1730221511911,1730221511911,700a9ff6c1fd30e49836de5705753dd9,700a9ff6c1fd30e49836de5705753dd9,747,747,1,1,1,1,0,0,0,,0
28,437,1125899906963118,87abe2a8-0000-0000-0000-300300000000,25,Volatility_filescan.mkape,Volatility_filescan.mkape,1730221512305,1730221512305,8209f22df62f66953590d01b18aaaa5b,8209f22df62f66953590d01b18aaaa5b,741,741,1,1,1,1,0,0,0,,0
29,439,1125899906963117,87abe2a8-0000-0000-0000-300300000000,25,Volatility_dumpfiles.mkape,Volatility_dumpfiles.mkape,1730221512252,1730221512252,066b4cb5ed6ffb9389438641137b8e9f,066b4cb5ed6ffb9389438641137b8e9f,763,763,1,1,1,1,0,0,0,,0
30,441,1125899906963113,87abe2a8-0000-0000-0000-300300000000,25,Volatility_Disabled.mkape,Volatility_Disabled.mkape,1730221512116,1730221512116,d599caaf5ae81fb3d61f4592f97af7b5,d599caaf5ae81fb3d61f4592f97af7b5,2261,2261,1,1,1,1,0,0,0,,0
31,443,1125899906963116,87abe2a8-0000-0000-0000-300300000000,25,Volatility_dlldump.mkape,Volatility_dlldump.mkape,1730221512164,1730221512164,d982f987f9f1b57278b7086a7b9d7296,d982f987f9f1b57278b7086a7b9d7296,773,773,1,1,1,1,0,0,0,,0
32,445,1125899906963110,87abe2a8-0000-0000-0000-300300000000,25,Plaso.mkape,Plaso.mkape,1730221511831,1730221511831,f7ce1c43fbcc21d8b3930e0008c60182,f7ce1c43fbcc21d8b3930e0008c60182,1129,1129,1,1,1,1,0,0,0,,0
33,447,1125899906963112,87abe2a8-0000-0000-0000-300300000000,25,Volatility_apihooks.mkape,Volatility_apihooks.mkape,1730221511986,1730221511986,e59b9f8ad79a24b6697cfa603135dee2,e59b9f8ad79a24b6697cfa603135dee2,741,741,1,1,1,1,0,0,0,,0
34,449,1125899906963109,87abe2a8-0000-0000-0000-300300000000,25,!ALL.mkape,!ALL.mkape,1730221511773,1730221511773,1044fed452760e701413ce3f0e2e1ec7,1044fed452760e701413ce3f0e2e1ec7,357,357,1,1,1,1,0,0,0,,0
35,451,1125899906963106,87abe2a8-0000-0000-0000-300300000000,21,ModuleGuide.guide,ModuleGuide.guide,1730221511555,1730221511555,ac1b1bfc97891356206fd02a0798263f,ac1b1bfc97891356206fd02a0798263f,2835,2835,1,1,1,1,0,0,0,,0
36,453,1125899906963120,87abe2a8-0000-0000-0000-300300000000,25,Volatility_malfind_dump.mkape,Volatility_malfind_dump.mkape,1730221512505,1730221512505,c598d1089bb76c7467e6a74b6364a97b,c598d1089bb76c7467e6a74b6364a97b,696,696,1,1,1,1,0,0,0,,0
37,455,1125899906963125,87abe2a8-0000-0000-0000-300300000000,25,Volatility_moddump.mkape,Volatility_moddump.mkape,1730221512716,1730221512716,137105f9054c1475652ee26fc16b1fb5,137105f9054c1475652ee26fc16b1fb5,773,773,1,1,1,1,0,0,0,,0
38,457,1125899906963130,87abe2a8-0000-0000-0000-300300000000,25,Volatility,Volatility,1637075462000,1637075462000,,,0,0,0,0,1,1,2,0,0,,0
39,459,1125899906963126,87abe2a8-0000-0000-0000-300300000000,25,Volatility_procdump.mkape,Volatility_procdump.mkape,1730221512809,1730221512809,4f29f3992852f4ee65e9f0c17c36042b,4f29f3992852f4ee65e9f0c17c36042b,775,775,1,1,1,1,0,0,0,,0
40,461,1125899906963122,87abe2a8-0000-0000-0000-300300000000,25,Volatility_mftparser.mkape,Volatility_mftparser.mkape,1730221512619,1730221512619,28c4abc9364be84f54031953539f639a,28c4abc9364be84f54031953539f639a,1124,1124,1,1,1,1,0,0,0,,0
41,463,1125899906963129,87abe2a8-0000-0000-0000-300300000000,25,Volatility_timeliner.mkape,Volatility_timeliner.mkape,1730221512914,1730221512914,b52650c4655a8197bcbe00f5fb4c5007,b52650c4655a8197bcbe00f5fb4c5007,1124,1124,1,1,1,1,0,0,0,,0
42,465,1125899906963121,87abe2a8-0000-0000-0000-300300000000,25,Volatility_memdump.mkape,Volatility_memdump.mkape,1730221512554,1730221512554,8f0f4f38608128f22b4ca0c7100a0452,8f0f4f38608128f22b4ca0c7100a0452,773,773,1,1,1,1,0,0,0,,0
43,467,1125899906963128,87abe2a8-0000-0000-0000-300300000000,25,Volatility_shellbags.mkape,Volatility_shellbags.mkape,1730221512868,1730221512868,dfa13792fdefeec589cf77b326e74d4f,dfa13792fdefeec589cf77b326e74d4f,1124,1124,1,1,1,1,0,0,0,,0
44,469,1125899906963132,87abe2a8-0000-0000-0000-300300000000,21,Apps,Apps,1730221534397,1730221513347,,,8192,0,0,0,1,1,2,0,0,,0
45,471,1125899906963135,87abe2a8-0000-0000-0000-300300000000,44,Everything_ParseEFU.mkape,Everything_ParseEFU.mkape,1730221513418,1730221513418,c33aeaec0b1a5609278cc424c0ab6ba3,c33aeaec0b1a5609278cc424c0ab6ba3,1766,1766,1,1,1,1,0,0,0,,0
46,473,1125899906963133,87abe2a8-0000-0000-0000-300300000000,44,CrowdStrike_CrowdResponse.mkape,CrowdStrike_CrowdResponse.mkape,1730221513187,1730221513187,5a8235712fe20493ccb56746b11a5cee,5a8235712fe20493ccb56746b11a5cee,1150,1150,1,1,1,1,0,0,0,,0
47,475,1125899906963134,87abe2a8-0000-0000-0000-300300000000,44,DumpIt_Memory.mkape,DumpIt_Memory.mkape,1730221513342,1730221513342,1d6a7f5b8d59ab0f1e0a3c699007e61c,1d6a7f5b8d59ab0f1e0a3c699007e61c,543,543,1,1,1,1,0,0,0,,0
48,477,1407374883673780,87abe2a8-0000-0000-0000-300300000000,44,DensityScout.mkape,DensityScout.mkape,1730221513280,1730221513280,e9604563e7d7d31d1ff4fb03930bca8e,e9604563e7d7d31d1ff4fb03930bca8e,600,600,1,1,1,1,0,0,0,,0
49,479,1125899906963131,87abe2a8-0000-0000-0000-300300000000,21,!Local,!Local,1671540258000,1671540258000,,,0,0,0,0,1,1,2,0,0,,0
50,481,1125899906963145,87abe2a8-0000-0000-0000-300300000000,44,PowerShell_log4j.mkape,PowerShell_log4j.mkape,1730221514299,1730221514299,3a4d05aa9332e160c4b327a2031d2561,3a4d05aa9332e160c4b327a2031d2561,607,607,1,1,1,1,0,0,0,,0
51,483,1125899906963141,87abe2a8-0000-0000-0000-300300000000,44,McAfeeStinger.mkape,McAfeeStinger.mkape,1730221514035,1730221514035,13b89d4f86f9cb585092968f17145457,13b89d4f86f9cb585092968f17145457,1049,1049,1,1,1,1,0,0,0,,0
52,485,1125899906963142,87abe2a8-0000-0000-0000-300300000000,44,NTFSLogTracker_$J.mkape,NTFSLogTracker_$J.mkape,1730221514150,1730221514150,b49b829dac2ec5daf0c91376b704c8ec,b49b829dac2ec5daf0c91376b704c8ec,726,726,1,1,1,1,0,0,0,,0
53,487,1125899906963136,87abe2a8-0000-0000-0000-300300000000,44,ExifTool.mkape,ExifTool.mkape,1730221513666,1730221513666,2a1ec38873befeea40e2af461a66fbe3,2a1ec38873befeea40e2af461a66fbe3,396,396,1,1,1,1,0,0,0,,0
54,489,1125899906963138,87abe2a8-0000-0000-0000-300300000000,44,Kaspersky_TDSSKiller.mkape,Kaspersky_TDSSKiller.mkape,1730221513809,1730221513809,f1f744cbf20dbe447fc0df9339e71310,f1f744cbf20dbe447fc0df9339e71310,683,683,1,1,1,1,0,0,0,,0
55,491,1125899906963144,87abe2a8-0000-0000-0000-300300000000,44,PowerShell_5SecondPause.mkape,PowerShell_5SecondPause.mkape,1730221514257,1730221514257,db3a6687b3582235c88fef59bf9c4bf0,db3a6687b3582235c88fef59bf9c4bf0,551,551,1,1,1,1,0,0,0,,0
56,493,1125899906963143,87abe2a8-0000-0000-0000-300300000000,44,NTFSLogTracker_$LogFile.mkape,NTFSLogTracker_$LogFile.mkape,1730221514193,1730221514193,d6f4545dfd2a3df9e87c7c7d9993b1af,d6f4545dfd2a3df9e87c7c7d9993b1af,738,738,1,1,1,1,0,0,0,,0
57,495,1125899906963147,87abe2a8-0000-0000-0000-300300000000,44,SQLite3_TeraCopy_History.mkape,SQLite3_TeraCopy_History.mkape,1730221514460,1730221514460,863c3179b4f66b3665e6cc0cce3572c9,863c3179b4f66b3665e6cc0cce3572c9,1290,1290,1,1,2,1,0,0,0,,0
58,497,1125899906963146,87abe2a8-0000-0000-0000-300300000000,44,Snap2HTML.mkape,Snap2HTML.mkape,1730221514366,1730221514366,a8d5e9c230a2cfcd9d6fd5bfedaf0de6,a8d5e9c230a2cfcd9d6fd5bfedaf0de6,846,846,1,1,1,1,0,0,0,,0
59,499,1125899906963140,87abe2a8-0000-0000-0000-300300000000,44,MagnetForensics_RAMCapture.mkape,MagnetForensics_RAMCapture.mkape,1730221513942,1730221513942,9461994bb89bdb64962bc0380936fca4,9461994bb89bdb64962bc0380936fca4,1090,1090,1,1,1,1,0,0,0,,0
60,501,1125899906963137,87abe2a8-0000-0000-0000-300300000000,44,KAPE_Automation.mkape,KAPE_Automation.mkape,1730221513742,1730221513742,c36259941ec36758c97869087cb44035,c36259941ec36758c97869087cb44035,817,817,1,1,1,1,0,0,0,,0
61,503,1125899906963139,87abe2a8-0000-0000-0000-300300000000,44,MagnetForensics_EDD.mkape,MagnetForensics_EDD.mkape,1730221513891,1730221513891,1d90191f57c6c1dcf9ee4f5dd708e3e0,1d90191f57c6c1dcf9ee4f5dd708e3e0,711,711,1,1,1,1,0,0,0,,0
62,505,1125899906963148,87abe2a8-0000-0000-0000-300300000000,44,SQLite3_TeraCopy_Main.mkape,SQLite3_TeraCopy_Main.mkape,1730221514521,1730221514521,3ac31c8638e9b2f25853c345b3da9404,3ac31c8638e9b2f25853c345b3da9404,1006,1006,1,1,1,1,0,0,0,,0
63,507,1125899906963150,87abe2a8-0000-0000-0000-300300000000,44,GitHub,GitHub,1730221521325,1730221515550,,,16384,0,0,0,1,1,2,0,0,,0
64,509,1125899906963151,87abe2a8-0000-0000-0000-300300000000,63,BitsParser.mkape,BitsParser.mkape,1730221514758,1730221514758,c4235190f21bef86b509bea7c0044acd,c4235190f21bef86b509bea7c0044acd,1169,1169,1,1,1,1,0,0,0,,0
65,511,2251799813805786,87abe2a8-0000-0000-0000-300300000000,63,hasherezade_HollowsHunter.mkape,hasherezade_HollowsHunter.mkape,1730221515433,1730221515433,a4d16793d702cd4d064efcb2808fb4c2,a4d16793d702cd4d064efcb2808fb4c2,1068,1068,1,1,1,1,0,0,0,,0
66,513,1125899906963163,87abe2a8-0000-0000-0000-300300000000,63,EvtxHussar.mkape,EvtxHussar.mkape,1730221515328,1730221515328,48649a4a28bf47eb04a4cf97fba35c77,48649a4a28bf47eb04a4cf97fba35c77,580,580,1,1,1,1,0,0,0,,0
67,515,1125899906963164,87abe2a8-0000-0000-0000-300300000000,63,HatTrickFreenetParser.mkape,HatTrickFreenetParser.mkape,1730221515542,1730221515542,54eafa67e02b1c3403a7b8a78bb47056,54eafa67e02b1c3403a7b8a78bb47056,1068,1068,1,1,1,1,0,0,0,,0
68,517,1125899906963161,87abe2a8-0000-0000-0000-300300000000,63,DHParser.mkape,DHParser.mkape,1730221515234,1730221515234,995e8e22801b6ce9d2ad92632f792c07,995e8e22801b6ce9d2ad92632f792c07,639,639,1,1,1,1,0,0,0,,0
69,519,1125899906963159,87abe2a8-0000-0000-0000-300300000000,63,CCMRUAFinder_RecentlyUsedApps.mkape,CCMRUAFinder_RecentlyUsedApps.mkape,1730221515025,1730221515025,d498b6eed04fc29983111ca3878d30e6,d498b6eed04fc29983111ca3878d30e6,723,723,1,1,1,1,0,0,0,,0
70,521,1125899906963165,87abe2a8-0000-0000-0000-300300000000,63,INDXRipper.mkape,INDXRipper.mkape,1730221515694,1730221515694,2ba99b3aa95927acb601747309e9220f,2ba99b3aa95927acb601747309e9220f,645,645,1,1,1,1,0,0,0,,0
71,523,1125899906963154,87abe2a8-0000-0000-0000-300300000000,63,Bulk_extractor.mkape,Bulk_extractor.mkape,1730221514932,1730221514932,232637d29b50822fd2518224b2683eca,232637d29b50822fd2518224b2683eca,1414,1414,1,1,1,1,0,0,0,,0
72,525,1125899906963152,87abe2a8-0000-0000-0000-300300000000,63,BMC-Tools_RDPBitmapCacheParser.mkape,BMC-Tools_RDPBitmapCacheParser.mkape,1730221514853,1730221514853,8038aa462f8d67690fa08bb23233e8d3,8038aa462f8d67690fa08bb23233e8d3,492,492,1,1,1,1,0,0,0,,0
73,527,1125899906963160,87abe2a8-0000-0000-0000-300300000000,63,Chainsaw.mkape,Chainsaw.mkape,1730221515090,1730221515090,beeb669b964da4737304cad9a6bfb0f8,beeb669b964da4737304cad9a6bfb0f8,2033,2033,1,1,1,1,0,0,0,,0
74,529,1125899906963149,87abe2a8-0000-0000-0000-300300000000,44,Winlogbeat_ALL.mkape,Winlogbeat_ALL.mkape,1730221514596,1730221514596,feefe20c83c390b381c7aea4c10ff698,feefe20c83c390b381c7aea4c10ff698,934,934,1,1,1,1,0,0,0,,0
75,531,1125899906963169,87abe2a8-0000-0000-0000-300300000000,63,Loki_LiveResponse.mkape,Loki_LiveResponse.mkape,1730221516087,1730221516087,5b91621403c5581ed54e629120961bb8,5b91621403c5581ed54e629120961bb8,869,869,1,1,1,1,0,0,0,,0
76,533,1125899906963167,87abe2a8-0000-0000-0000-300300000000,63,LevelDBDumper.mkape,LevelDBDumper.mkape,1730221515856,1730221515856,092e81f04bcb6fe414eabf4995e1753d,092e81f04bcb6fe414eabf4995e1753d,738,738,1,1,1,1,0,0,0,,0
77,535,1125899906963168,87abe2a8-0000-0000-0000-300300000000,63,log4j-scanner.mkape,log4j-scanner.mkape,1730221515937,1730221515937,7c7f23d2d7f2a40aa6fc3dadbb5feec2,7c7f23d2d7f2a40aa6fc3dadbb5feec2,513,513,1,1,1,1,0,0,0,,0
78,537,1125899906963170,87abe2a8-0000-0000-0000-300300000000,63,Loki_Scan.mkape,Loki_Scan.mkape,1730221516303,1730221516303,b5d52a54d7f1835c03a6e7f85df354df,b5d52a54d7f1835c03a6e7f85df354df,943,943,1,1,1,1,0,0,0,,0
79,539,1125899906963166,87abe2a8-0000-0000-0000-300300000000,63,iTunesBackupReader.mkape,iTunesBackupReader.mkape,1730221515781,1730221515781,92b227bb8d2e02aad02d7991821f621c,92b227bb8d2e02aad02d7991821f621c,636,636,1,1,1,1,0,0,0,,0
80,541,1125899906963176,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Get-InjectedThread.mkape,PowerShell_Get-InjectedThread.mkape,1730221517067,1730221517067,0401e660bd54056c25f7fa738db96e50,0401e660bd54056c25f7fa738db96e50,1583,1583,1,1,1,1,0,0,0,,0
81,543,1125899906963174,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Get-ChainsawSigmaRules.mkape,PowerShell_Get-ChainsawSigmaRules.mkape,1730221516882,1730221516882,04c02565b4c3e258dc7e9628c15a78a7,04c02565b4c3e258dc7e9628c15a78a7,700,700,1,1,1,1,0,0,0,,0
82,545,1125899906963178,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_MFTECmd_J-MFTParsing.mkape,PowerShell_MFTECmd_J-MFTParsing.mkape,1730221517297,1730221517297,7ec353783b984731baada3139d4eb21b,7ec353783b984731baada3139d4eb21b,1212,1212,1,1,1,1,0,0,0,,0
83,547,1125899906963173,87abe2a8-0000-0000-0000-300300000000,63,OneDriveExplorer.mkape,OneDriveExplorer.mkape,1730221516693,1730221516693,9acd79d3bf877bd6379b1e9d7537de26,9acd79d3bf877bd6379b1e9d7537de26,1011,1011,1,1,1,1,0,0,0,,0
84,549,1125899906963177,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Get-NetworkConnection.mkape,PowerShell_Get-NetworkConnection.mkape,1730221517173,1730221517173,bb040f45a7826c51d3db386aa5889236,bb040f45a7826c51d3db386aa5889236,1192,1192,1,1,1,1,0,0,0,,0
85,551,1125899906963171,87abe2a8-0000-0000-0000-300300000000,63,mimikatz_NTLMHashes.mkape,mimikatz_NTLMHashes.mkape,1730221516451,1730221516451,77da26569475c189d2ca82128b085cb5,77da26569475c189d2ca82128b085cb5,1106,1106,1,1,1,1,0,0,0,,0
86,553,1125899906963175,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Get-DoSvc4n6.mkape,PowerShell_Get-DoSvc4n6.mkape,1730221516935,1730221516935,11fc5b90ad611f792019f6e0a9d50ee5,11fc5b90ad611f792019f6e0a9d50ee5,964,964,1,1,1,1,0,0,0,,0
87,555,1125899906963172,87abe2a8-0000-0000-0000-300300000000,63,ObsidianForensics_Hindsight.mkape,ObsidianForensics_Hindsight.mkape,1730221516536,1730221516536,e2670c2a281d6aa795a02eca09e734ca,e2670c2a281d6aa795a02eca09e734ca,770,770,1,1,1,1,0,0,0,,0
88,557,1125899906963179,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Move-KAPEConsoleHost_history.mkape,PowerShell_Move-KAPEConsoleHost_history.mkape,1730221517360,1730221517360,2e9d7a5b32636e29f88acdd32f1f5998,2e9d7a5b32636e29f88acdd32f1f5998,1094,1094,1,1,1,1,0,0,0,,0
89,559,1125899906963185,87abe2a8-0000-0000-0000-300300000000,63,SRUMDump.mkape,SRUMDump.mkape,1730221518021,1730221518021,4a560d6a313ffc503f07d78840611dbe,4a560d6a313ffc503f07d78840611dbe,1117,1117,1,1,1,1,0,0,0,,0
90,561,1125899906963187,87abe2a8-0000-0000-0000-300300000000,63,ThumbCacheViewer.mkape,ThumbCacheViewer.mkape,1730221518147,1730221518147,e4fb95c37c2850975140964cbd1570b8,e4fb95c37c2850975140964cbd1570b8,963,963,1,1,1,1,0,0,0,,0
91,563,1125899906963180,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Netscan.mkape,PowerShell_Netscan.mkape,1730221517542,1730221517542,d18408e15f1030bd1759697210b7be8f,d18408e15f1030bd1759697210b7be8f,573,573,1,1,1,1,0,0,0,,0
92,565,1125899906963184,87abe2a8-0000-0000-0000-300300000000,63,SEPparser.mkape,SEPparser.mkape,1730221517945,1730221517945,29d102d7194e4b6e710ab6013007f265,29d102d7194e4b6e710ab6013007f265,448,448,1,1,1,1,0,0,0,,0
93,567,1125899906963186,87abe2a8-0000-0000-0000-300300000000,63,TeamsParser.mkape,TeamsParser.mkape,1730221518089,1730221518089,6e9e6faee3874a89e3554941c6eecf05,6e9e6faee3874a89e3554941c6eecf05,900,900,1,1,1,1,0,0,0,,0
94,569,1125899906963181,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_Signed.mkape,PowerShell_Signed.mkape,1730221517716,1730221517716,a5500ea4c09449b9049456d15eb814a5,a5500ea4c09449b9049456d15eb814a5,1138,1138,1,1,1,1,0,0,0,,0
95,571,1125899906963183,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_SumECmd_SUM-RepairAndParse.mkape,PowerShell_SumECmd_SUM-RepairAndParse.mkape,1730221517835,1730221517835,5a4f03e8cbffb5671a8bcef70a7cfc46,5a4f03e8cbffb5671a8bcef70a7cfc46,655,655,1,1,1,1,0,0,0,,0
96,573,1125899906963182,87abe2a8-0000-0000-0000-300300000000,63,PowerShell_SrumECmd_SRUM-RepairAndParse.mkape,PowerShell_SrumECmd_SRUM-RepairAndParse.mkape,1730221517795,1730221517795,ac92336ee3c7f5d8f21fef055f3fc8f2,ac92336ee3c7f5d8f21fef055f3fc8f2,662,662,1,1,1,1,0,0,0,,0
97,575,1125899906963189,87abe2a8-0000-0000-0000-300300000000,63,Velocidex_WinPmem.mkape,Velocidex_WinPmem.mkape,1730221518285,1730221518285,2633c50d0e7697d73043e1d27ae0af5b,2633c50d0e7697d73043e1d27ae0af5b,1101,1101,1,1,1,1,0,0,0,,0
98,577,2814749767227124,87abe2a8-0000-0000-0000-300300000000,63,VLSeeRecent_VLCRecentFiles.mkape,VLSeeRecent_VLCRecentFiles.mkape,1730221518388,1730221518388,7a8112bd609ad7cb793d1d9830be80dc,7a8112bd609ad7cb793d1d9830be80dc,751,751,1,1,1,1,0,0,0,,0
99,579,1125899906963199,87abe2a8-0000-0000-0000-300300000000,63,RegRipper,RegRipper,1730221520157,1730221519299,,,4096,0,0,0,1,1,2,0,0,,0
100,581,1125899906963202,87abe2a8-0000-0000-0000-300300000000,99,RegRipper_SAM.mkape,RegRipper_SAM.mkape,1730221519414,1730221519414,3f5d0c454b01482d813111e68bcfb717,3f5d0c454b01482d813111e68bcfb717,665,665,1,1,2,1,0,0,0,,0
101,583,1125899906963201,87abe2a8-0000-0000-0000-300300000000,99,RegRipper_NTUser.mkape,RegRipper_NTUser.mkape,1730221519290,1730221519290,d94e453fc25b03777eccd5a5e0ff96d1,d94e453fc25b03777eccd5a5e0ff96d1,682,682,1,1,1,1,0,0,0,,0
102,585,1125899906963200,87abe2a8-0000-0000-0000-300300000000,99,RegRipper_NTUser-Variable.mkape,RegRipper_NTUser-Variable.mkape,1730221519128,1730221519128,ed2102ffb88c3f82413547103ce55336,ed2102ffb88c3f82413547103ce55336,783,783,1,1,1,1,0,0,0,,0
103,587,1125899906963193,87abe2a8-0000-0000-0000-300300000000,63,Hayabusa,Hayabusa,1730221518945,1730221518945,,,4096,0,0,0,1,1,2,0,0,,0
